alt,data_rw,desc,href,image_data,pos,pos_overall,price,question,related_questions__search__title,related_questions__search__url,related_questions__source__title,related_questions__source__url,related_questions__source__url_shown,seller,source,title,type,url,url_image,url_shown,search_information__autocorrect,search_information__query,search_information__showing_results_for,search_information__total_results_count,meta__job_id,meta__query,meta__domain,meta__updated_at,meta__created_at,meta__url,meta__limit,meta__geo_location,meta__locale,meta__start_page,meta__user_agent_type,meta__context__results_language,meta__context__safe_search,meta__context__tbm,meta__context__cr,meta__context__filter,meta__context__nfpr,meta__context__tbs,meta__context__fpstate
,,"9. 5. 2023 — Liverpool supporters are famed for having in-depth knowledge of their team, but here are some interesting facts you might not have known ...",,,1,1,,,,,,,,,,"1 fact that you (probably) don't know about every Liverpool ...",organic,https://www.thisisanfield.com/2023/05/1-fact-that-you-probably-dont-know-about-every-liverpool-player/,,"https://www.thisisanfield.com› ...",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"From kits to training wear to gifts, @lfcretail have you covered Get 20% off everything, exclusively online and on the LFC Store App.",,,2,2,,,,,,,,,,"It's time for #Legends2025 ✨ Matchday at Anfield as a star- ...",organic,https://www.instagram.com/thelfcfoundation/p/DHfdqgmsbbl/?api=WhatsApp%E7%BE%A4%E5%8F%91%E6%8B%89%E7%BE%A4%E5%8D%8F%E8%AE%AE%F0%9F%92%B0-[%E8%AE%A4%E5%87%86%E5%A4%A7%E8%BD%A9TG%3A%40TC2397431747]-WS%E6%8B%89%E7%BE%A4%E8%BD%AF%E4%BB%B6%2FWs%E8%87%AA%E5%8A%A8%E6%8B%89%E7%BE%A4%2FWS%E7%AD%9B%E9%80%89%E5%B7%A5%E5%85%B7.tbnm&hl=sk,,"Viac než 53,2 tis. sa to páči  ·  pred 1 týždňom",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"From kits to training wear to gifts, @lfcretail have you covered Get 20% off everything, exclusively online and on the LFC Store App.",,,3,3,,,,,,,,,,"Goalless at the break at Anfield 🔴 #Legends2025",organic,https://www.instagram.com/thelfcfoundation/p/DHgdprNqP30/?api=WhatsApp%E7%BE%A4%E5%8F%91%E6%8B%89%E7%BE%A4%E5%8D%8F%E8%AE%AE%F0%9F%92%B0-[%E8%AE%A4%E5%87%86%E5%A4%A7%E8%BD%A9TG%3A%40TC2397431747]-WS%E6%8B%89%E7%BE%A4%E8%BD%AF%E4%BB%B6%2FWs%E8%87%AA%E5%8A%A8%E6%8B%89%E7%BE%A4%2FWS%E7%AD%9B%E9%80%89%E5%B7%A5%E5%85%B7.tbnm&hl=sk,,"Viac než 78,8 tis. sa to páči  ·  pred 1 týždňom",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"LFChistory.net is all about the history of Liverpool FC. We have got all the match results from 1892 to today along with great player profiles.",,,4,4,,,,,,,,,,"Matchdetails from Manchester United - Liverpool",organic,https://www.lfchistory.net/SeasonArchive/Game/204,,"https://www.lfchistory.net› Game",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"Welcome to the Liverpool Football Club Official App – stay connected with the team wherever you are! Bringing you official news from the Club, ...",,,5,5,,,,,,,,,,"The Official Liverpool FC App - App Store",organic,https://apps.apple.com/us/app/the-official-liverpool-fc-app/id332227346?l=sk&platform=iphone,,"https://apps.apple.com› app › the-official-liverpool-fc-app",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"We are the birthplace of Liverpool FC, and it's the best match-day venue! Football fans from all over the world come to us on match days to enjoy a pint or two ...",,,6,6,,,,,,,,,,"Where it all began - The Sandon Hotel & Pub",organic,https://www.thesandon.com/about,,"https://www.thesandon.com› about",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"Match details: FA Cup 5th round, Molineux | Sat 11 Feb 1939 at 15:00, UK local time. Starting Lineup Goals: Willie Fagan 54' penalty.",,,7,7,,,,,,,,,,"Liverpool played on Saturday 11 February 1939",organic,https://www.lfchistory.net/SeasonArchive/Game/4780,,"https://www.lfchistory.net› SeasonArchive › Game",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"The idea of people help the people™ has evolved since the enormous response to this Facebook Group. And it will continue to evolve – as that is the...",,,8,8,,,,,,,,,,"People Help The People ™️( Liverpool )",organic,https://www.facebook.com/groups/555736821159354/about/?locale=sk_SK,,"Viac než 76 tis. sledovateľov",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"Liverpool je mesto a metropolitný okres v Spojenom kráľovstve v regióne North West England rozkladajúci sa vo východnej časti Merseyskej zátoky.",,,9,9,,,,,,,,,,Liverpool,organic,https://sk.wikipedia.org/wiki/Liverpool,,"https://sk.wikipedia.org› wiki › Liverpool",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
,,"Prinášame vám oficiálne správy z klubu, vždy autentické, vždy prvé! Zaregistrujte sa alebo sa jednoducho prihláste pomocou svojich existujúcich prihlasovacích ...",,,10,10,,,,,,,,,,"The Official Liverpool FC App - Google Play",organic,https://play.google.com/store/apps/details?id=tv.liverpoolfc&hl=sk,,"https://play.google.com› store › apps › details › id=tv.li...",,liverpool,liverpool,1690000,7312781948408066049,liverpool,com,2025-04-01T10:24:44+0000,2025-04-01T10:24:41+0000,https://www.google.com/search?hl=sk&lr=lang_sk&q=liverpool,10,,sk,1,desktop,,,,,,,,
